cve_ent,poblacion,nombre,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020,9/5/2020,10/5/2020,11/5/2020,12/5/2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,1/6/2020,2/6/2020,3/6/2020,4/6/2020,5/6/2020,6/6/2020,7/6/2020,8/6/2020,9/6/2020,10/6/2020,11/6/2020,12/6/2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020
1,1434635,AGUASCALIENTES,4,3,5,50,13,17,24,11,0,5,12,41,16,24,25,4,7,38,19,29,27,24,18,10,43,36,37,45,44,18,21,65,54,61,42,63,24,24,79,62,63,73,53,35,23,80,64,71,64,71,21,19,73,53,50,65,55,14,10,41,36
2,3634868,BAJA CALIFORNIA,101,91,97,143,149,129,128,143,77,72,135,129,131,120,150,75,72,219,155,174,238,213,69,83,139,138,133,124,121,86,77,158,175,167,155,153,111,73,177,180,153,151,116,89,94,186,190,150,148,180,92,64,212,196,181,177,180,110,63,207,202
3,804708,BAJA CALIFORNIA SUR,2,8,6,7,12,10,11,9,6,10,7,16,13,8,5,11,3,11,15,17,8,15,7,9,17,14,21,18,22,13,8,36,17,16,22,22,14,20,53,38,48,28,25,22,21,51,30,46,48,19,34,18,31,46,53,54,41,45,33,66,58
4,1000617,CAMPECHE,7,13,14,21,11,19,13,16,15,9,27,23,19,15,18,17,15,19,22,26,20,26,18,15,35,37,30,31,20,19,7,38,24,19,40,41,25,23,44,60,72,75,36,29,21,102,84,108,88,99,55,39,108,95,90,93,100,53,50,75,92
7,5730367,CHIAPAS,18,9,14,31,28,35,35,36,23,21,33,47,68,67,82,40,35,96,65,75,104,98,55,50,147,132,128,142,129,72,72,156,146,120,114,129,72,75,140,134,111,100,111,68,66,94,97,108,97,85,52,44,99,84,99,90,89,44,47,71,55
8,3801487,CHIHUAHUA,72,64,37,76,101,84,85,73,63,64,83,72,89,89,83,61,58,95,82,89,112,81,74,33,102,75,72,58,91,29,39,84,87,63,51,79,43,29,80,61,73,68,51,27,26,59,83,58,65,65,39,27,61,61,66,53,86,38,23,81,95
9,9018645,DISTRITO FEDERAL,406,381,346,793,647,741,782,857,451,418,880,882,926,850,1009,641,416,1135,1079,1094,1017,971,521,400,1093,953,1021,865,978,571,448,1117,949,1016,953,981,557,413,1057,1016,971,899,936,427,360,943,1005,976,956,899,469,298,903,901,834,855,939,383,343,983,940
5,3218720,COAHUILA,15,5,5,26,32,35,23,20,10,15,30,31,16,33,38,16,12,65,52,43,63,47,43,17,60,55,75,62,95,43,37,110,83,77,88,100,46,48,152,135,145,140,152,66,46,180,213,180,201,212,121,77,290,327,259,210,240,179,108,342,290
6,785153,COLIMA,1,0,2,3,4,1,1,2,3,1,2,6,4,12,4,3,5,7,8,9,4,8,4,7,8,7,5,7,8,6,4,11,12,10,8,11,11,4,13,15,12,16,13,11,8,15,24,16,16,28,11,17,21,23,21,25,27,17,11,22,23
10,1868996,DURANGO,6,7,7,4,3,5,11,11,2,1,6,12,10,13,18,5,9,18,8,23,21,24,7,16,27,23,28,24,34,38,13,39,41,36,45,85,23,21,71,70,50,62,55,21,19,73,93,72,81,53,18,17,75,111,93,70,88,58,38,59,86
11,6228175,GUANAJUATO,14,10,12,33,23,31,37,44,28,23,44,53,41,52,36,34,21,54,69,58,65,57,53,20,120,97,107,142,146,99,70,184,175,181,224,172,129,83,198,234,192,211,216,128,85,348,316,335,326,379,197,116,398,410,396,305,378,208,123,412,427
12,3657048,GUERRERO,15,41,30,55,38,52,43,41,41,34,52,66,55,79,66,55,44,133,121,148,139,131,66,75,131,115,126,118,104,63,90,159,115,118,131,122,99,72,153,121,147,153,156,86,100,144,153,113,113,135,53,76,185,120,95,135,125,146,177,251,254
13,3086414,HIDALGO,26,23,27,38,30,41,39,37,27,28,52,58,47,67,82,55,27,81,70,78,96,81,53,40,92,72,83,93,74,47,42,95,80,66,68,66,54,29,87,110,79,74,99,46,45,82,73,72,78,89,59,28,75,82,87,85,90,45,42,97,83
14,8409693,JALISCO,15,29,16,31,23,24,51,24,28,22,52,40,30,56,68,20,32,60,79,64,65,76,44,37,99,132,149,132,163,132,88,238,195,203,182,223,106,82,269,253,260,233,198,128,109,240,221,225,235,203,153,109,246,237,203,184,233,155,120,205,239
15,17427790,MEXICO,347,291,315,550,424,408,513,495,332,326,690,655,663,620,762,426,375,793,649,740,731,792,390,431,882,747,824,741,767,455,393,925,869,993,853,875,467,483,1125,964,967,778,795,422,439,944,878,808,789,786,433,318,793,656,721,622,732,338,318,871,658